"","Beach.ID","CalendarDate","County","Action","Reason","PossibleSource","MeasureType","WQ.Value","WQ.MeasureUnit","ecoliValue","ecoliUnit","EnterocValue","EnterocUnit","Reason.Elev_bact","closure","contamAd","Reason.Model","Reason.Other","Reason.Rainfall","Reason.Sewage","Source.CSO","Source.Other","Source.Runoff","Source.Spetic","Source.SSO","Source.Storm","Source.Unknown","Source.Wildlife","daysSinceJune1"
"37","NY077883",2016-06-25,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"38","NY077883",2016-06-26,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"39","NY077883",2016-06-27,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"40","NY077883",2016-06-28,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,27
"41","NY077883",2016-06-29,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,28
"42","NY077883",2016-06-30,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,29
"43","NY077883",2016-07-01,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,30
"44","NY077883",2016-07-02,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"45","NY077883",2016-07-03,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"46","NY077883",2016-07-04,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"47","NY077883",2016-07-05,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,34
"48","NY077883",2016-07-06,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,35
"49","NY077883",2016-07-07,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"50","NY077883",2016-07-08,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"51","NY077883",2016-07-09,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"52","NY077883",2016-07-10,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"53","NY077883",2016-07-11,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"54","NY077883",2016-07-12,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"55","NY077883",2016-07-13,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"56","NY077883",2016-07-14,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"57","NY077883",2016-07-15,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"58","NY077883",2016-07-16,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"59","NY077883",2016-07-17,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"60","NY077883",2016-07-18,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"61","NY077883",2016-07-19,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"62","NY077883",2016-07-20,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"63","NY077883",2016-07-21,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"64","NY077883",2016-07-22,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"65","NY077883",2016-07-23,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"66","NY077883",2016-07-24,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"67","NY077883",2016-07-25,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"68","NY077883",2016-07-26,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"69","NY077883",2016-07-27,"WESTCHESTER",2,1,7,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,56
"70","NY077883",2016-07-28,"WESTCHESTER",2,1,7,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,57
"71","NY077883",2016-07-29,"WESTCHESTER",1,5,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,58
"72","NY077883",2016-07-30,"WESTCHESTER",1,5,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,59
"73","NY077883",2016-07-31,"WESTCHESTER",1,5,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60
"74","NY077883",2016-08-01,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"75","NY092168",2016-06-01,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","NY092168",2016-06-02,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"77","NY092168",2016-06-03,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"78","NY092168",2016-06-04,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"79","NY092168",2016-06-05,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"80","NY092168",2016-06-06,"WESTCHESTER",0,0,0,"Enterococcus",160,"#/100ml",NA,NA,160,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"81","NY092168",2016-06-07,"WESTCHESTER",2,1,7,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6
"82","NY092168",2016-06-08,"WESTCHESTER",2,1,7,"Enterococcus",46,"#/100ml",NA,NA,46,"#/100ml",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7
"83","NY092168",2016-06-09,"WESTCHESTER",2,1,7,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8
"84","NY092168",2016-06-10,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"85","NY092168",2016-06-11,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"86","NY092168",2016-06-12,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"87","NY092168",2016-06-13,"WESTCHESTER",0,0,0,"Enterococcus",2,"#/100ml",NA,NA,2,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"88","NY092168",2016-06-14,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"89","NY092168",2016-06-15,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"90","NY092168",2016-06-16,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"91","NY092168",2016-06-17,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"92","NY092168",2016-06-18,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"93","NY092168",2016-06-19,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"94","NY092168",2016-06-20,"WESTCHESTER",0,0,0,"Enterococcus",NA,"-",NA,NA,NA,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"95","NY092168",2016-06-21,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"96","NY092168",2016-06-22,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"97","NY092168",2016-06-23,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"98","NY092168",2016-06-24,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"99","NY092168",2016-06-25,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"100","NY092168",2016-06-26,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"101","NY092168",2016-06-27,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"102","NY092168",2016-06-28,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,27
"103","NY092168",2016-06-29,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,28
"104","NY092168",2016-06-30,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,29
"105","NY092168",2016-07-01,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,30
"106","NY092168",2016-07-02,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"107","NY092168",2016-07-03,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"108","NY092168",2016-07-04,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"109","NY092168",2016-07-05,"WESTCHESTER",1,4,6,"Enterococcus",400,"#/100ml",NA,NA,400,"#/100ml",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,34
"110","NY092168",2016-07-05,"WESTCHESTER",1,4,6,"Enterococcus",480,"#/100ml",NA,NA,480,"#/100ml",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,34
"111","NY092168",2016-07-06,"WESTCHESTER",1,4,6,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,35
"112","NY092168",2016-07-07,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"113","NY092168",2016-07-08,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"114","NY092168",2016-07-09,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"115","NY092168",2016-07-10,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"116","NY092168",2016-07-11,"WESTCHESTER",0,0,0,"Enterococcus",12,"#/100ml",NA,NA,12,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"117","NY092168",2016-07-12,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"118","NY092168",2016-07-13,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"119","NY092168",2016-07-14,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"120","NY092168",2016-07-15,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"121","NY092168",2016-07-16,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"122","NY092168",2016-07-17,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"123","NY092168",2016-07-18,"WESTCHESTER",0,0,0,"Enterococcus",10,"#/100ml",NA,NA,10,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"124","NY092168",2016-07-19,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"125","NY092168",2016-07-20,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"126","NY092168",2016-07-21,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"127","NY092168",2016-07-22,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"128","NY092168",2016-07-23,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"129","NY092168",2016-07-24,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"130","NY092168",2016-07-25,"WESTCHESTER",0,0,0,"Enterococcus",2,"#/100ml",NA,NA,2,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"131","NY092168",2016-07-26,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"132","NY092168",2016-07-27,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"133","NY092168",2016-07-28,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"134","NY092168",2016-07-29,"WESTCHESTER",1,5,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,58
"135","NY092168",2016-07-30,"WESTCHESTER",1,5,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,59
"136","NY092168",2016-07-31,"WESTCHESTER",1,5,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60
"137","NY092168",2016-08-01,"WESTCHESTER",0,0,0,"Enterococcus",480,"#/100ml",NA,NA,480,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"138","NY093374",2016-06-17,"SUFFOLK",NA,NA,NA,"Enterococcus",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"139","NY093374",2016-07-01,"SUFFOLK",NA,NA,NA,"Enterococcus",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"140","NY106799",2016-06-01,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","NY106799",2016-06-02,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"142","NY106799",2016-06-03,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"143","NY106799",2016-06-04,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"144","NY106799",2016-06-05,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"145","NY106799",2016-06-06,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"146","NY106799",2016-06-07,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"147","NY106799",2016-06-08,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"148","NY106799",2016-06-09,"SUFFOLK",0,0,0,"Enterococcus",8,"#/100ml",NA,NA,8,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"149","NY106799",2016-06-10,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"150","NY106799",2016-06-11,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"151","NY106799",2016-06-12,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"152","NY106799",2016-06-13,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"153","NY106799",2016-06-14,"SUFFOLK",0,0,0,"Enterococcus",NA,"-",NA,NA,NA,"-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"154","NY106799",2016-06-15,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"155","NY106799",2016-06-16,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"156","NY106799",2016-06-17,"SUFFOLK",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
